,Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
287,IST755,M401,42475,3.0,Strategic Mgmt/Info Resources,Raed M. Sharif,12:00am - 8:30pm,Th,Online  Online
288,IST755,M402,42643,3.0,Strategic Mgmt/Info Resources,Scott A Bernard,12:00am - 8:30pm,Tu,Online  Online
289,IST769,M400,42626,3.0,Advanced Database Management,Michael Fudge,12:00am - 10:30pm,W,Online  Online
290,IST769,M401,42764,3.0,Advanced Database Management,Dr. Gregory Block,12:00am - 5:30pm,Su,Online  Online
291,IST777,M400,42627,3.0,Statistical Methods in IST,Jeffrey M. Stanton,12:00am - 7:30pm,M,Online  Online
292,IST800,M001,37515,3.0,Design Meth. for Info Studies,Rachel Ivy Clarke,9:30am - 12:15pm,W,Hinds Hall 120
293,IST810,M001,37389,2.0,Practicum in Research,Steven B Sawyer,9:30am - 11:25am,Tu,Hinds Hall 120
294,IST810,M002,37509,2.0,Practicum in Research,Steven B Sawyer,9:30am - 11:25am,Tu,Hinds Hall 120
295,IST820,M001,41535,3.0,Seminar in Research Methods,Jeffrey M. Stanton,9:30am - 12:15pm,,Hinds Hall 120
296,IST840,M001,37391,1.0,Practicum in Teaching,Steven B Sawyer,11:30am - 12:15pm,Tu,Hinds Hall 120
297,IST840,M002,37508,1.0,Practicum in Teaching,Steven B Sawyer,11:30am - 12:15pm,Tu,Hinds Hall 120
298,IST971,M400,42678,1.0,Internship in Info Studies,Susan Monica Bonzi,12:00am - 12:00am,,Online
299,IST971,M401,42680,1.0,Internship in Info Studies,Susan Monica Bonzi,12:00am - 12:00am,,Online
300,IST971,M402,42770,1.0,Internship in Info Studies,Susan Monica Bonzi,12:00am - 12:00am,,
301,IST972,M001,37396,3.0,School Media Practicum,Patricia C Vilello,12:00am - 12:00am,,Online
302,IST972,M400,42662,1.0,School Media Practicum,Patricia C Vilello,12:00am - 12:00am,,Online
303,IST972,M401,42745,3.0,School Media Practicum,Patricia C Vilello,12:00am - 12:00am,,Online
304,IST973,M800,42478,1.0,Internship in Info Studies,,12:00am - 12:00am,,
305,IST973,M401,42673,1.0,Internship in Info Studies,,12:00am - 12:00am,,Online
306,IST973,M402,42875,1.0,Internship in Info Studies,,12:00am - 12:00am,,Online
307,IST999,M001,37387,1.0,Dissertation,,12:00am - 12:00am,,
