,Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
150,IST616,M403,37625,3.0,Info Rsces: Organiz & Access,Arden Kirkland,12:00am - 8:30pm,Tu,Online  Online
151,IST616,M404,37626,3.0,Info Rsces: Organiz & Access,Jeanette Norris,12:00am - 10:30pm,Tu,Online  Online
152,IST616,M405,37627,3.0,Info Rsces: Organiz & Access,Jian Qin,12:00am - 10:30pm,W,Online  Online
153,IST618,M003,37425,3.0,Information Policy,Caroline Haythornthwaite,5:00pm - 7:50pm,Th,Hinds Hall 021
154,IST618,M001,37460,3.0,Information Policy,Angela Usha Ramnarine-Rieks,2:00pm - 4:45pm,Th,Hinds Hall 117
155,IST618,M400,37594,3.0,Information Policy,Ian P MacInnes,12:00am - 8:30pm,M,Online  Online
156,IST618,M401,37595,3.0,Information Policy,Angela Usha Ramnarine-Rieks,12:00am - 10:30pm,M,Online  Online
157,IST618,M402,37596,3.0,Information Policy,Emily Drabinski,12:00am - 8:30pm,Th,Online  Online
158,IST618,M404,37636,3.0,Information Policy,David A Sidi,12:00am - 8:30pm,M,Online  Online
159,IST618,M405,37637,3.0,Information Policy,Angela Usha Ramnarine-Rieks,12:00am - 10:30pm,M,Online  Online
160,IST618,M406,37639,3.0,Information Policy,Emily Drabinski,12:00am - 8:30pm,Th,Online  Online
161,IST618,M407,37640,3.0,Information Policy,Raed M. Sharif,12:00am - 10:30pm,Th,Online  Online
162,IST618,M408,37641,3.0,Information Policy,Raed M. Sharif,12:00am - 10:30pm,Th,Online  Online
163,IST618,M002,42794,3.0,Information Policy,Angela Usha Ramnarine-Rieks,5:00pm - 7:50pm,Tu,Hinds Hall 018
164,IST619,M800,37533,3.0,Economics for Info Managers,Ian P MacInnes,12:00am - 12:00am,,Online
165,IST621,M001,37480,3.0,Info Management and Technology,Ingrid Erickson,5:15pm - 8:00pm,W,Hinds Hall 011
166,IST621,M400,37553,3.0,Info Management and Technology,Michael Larche,12:00am - 10:30pm,Tu,Online  Online
167,IST621,M401,37560,3.0,Info Management and Technology,Michael Larche,12:00am - 10:30pm,Tu,Online  Online
168,IST623,M001,37462,3.0,Intro to Information Security,Timothy J Van Waes,5:00pm - 7:50pm,Tu,Hinds Hall 027
169,IST623,M400,37522,3.0,Intro to Information Security,Joon S. Park,12:00am - 8:30pm,W,Online  Online
170,IST623,M401,42611,3.0,Intro to Information Security,Joon S. Park,12:00am - 8:30pm,W,Online  Online
171,IST624,M001,37420,3.0,Preserv Lib/Archival Collctns,David J Stokoe,5:15pm - 8:00pm,M,Hinds Hall 011
172,IST625,M002,37495,3.0,Enterprise Risk Management,Frank Jr Marullo,5:15pm - 8:05pm,W,Hinds Hall 117
173,IST625,M400,37566,3.0,Enterprise Risk Management,Michael Larche,12:00am - 8:30pm,M,Online  Online
174,IST625,M001,37569,3.0,Enterprise Risk Management,Michael Larche,5:15pm - 8:05pm,W,Bowne Hall 105
175,IST625,M401,37598,3.0,Enterprise Risk Management,Dale Thompson,12:00am - 7:30pm,W,Online  Online
176,IST625,M402,42612,3.0,Enterprise Risk Management,Michael Larche,12:00am - 8:30pm,M,Online  Online
177,IST628,M800,37510,3.0,Org/Mgmt of Arch Collections,Cara A. Howe,12:00am - 12:00am,,Online
178,IST635,M400,37564,3.0,Collection Dev & Access,Jill Hurst-Wahl,12:00am - 8:30pm,Th,Online  Online
179,IST635,M401,37674,3.0,Collection Dev & Access,Katrina Maust,12:00am - 8:30pm,Tu,Online  Online
180,IST636,M400,42434,3.0,Leading Issues/Info Security,Joon S. Park,12:00am - 10:30pm,W,Online  Online
181,IST643,M001,42595,3.0,Ent Serv and Virtualized Sys,Michael Fudge,9:30am - 12:15pm,W,Hinds Hall 111
182,IST645,M001,37406,3.0,Managing Info Systems Projects,Arthur P. Thomas,5:00pm - 7:50pm,Tu,Hinds Hall 021
183,IST645,M003,37482,3.0,Managing Info Systems Projects,Mark Andrew Borte,5:15pm - 8:05pm,M,Hinds Hall 018
184,IST645,M400,37520,3.0,Managing Info Systems Projects,Robert A Emborski,12:00am - 8:30pm,Th,Online  Online
185,IST645,M401,42614,3.0,Managing Info Systems Projects,Robert A Emborski,12:00am - 8:30pm,Th,Online  Online
186,IST646,M800,42265,3.0,Storytelling Info Professional,Marilyn Plavocos Arnone,12:00am - 12:00am,,Online
187,IST649,M001,37415,3.0,Human Interaction W/Computers,Bryan Semaan,9:30am - 12:15pm,W,Hinds Hall 021
188,IST652,M001,37668,3.0,Scripting for Data Analysis,"David J. Myers, Ph.D.",5:15pm - 6:35pm,MW,Hinds Hall 013
189,IST652,M400,42484,3.0,Scripting for Data Analysis,Deborah Landowski,12:00am - 8:30pm,W,Online  Online
190,IST652,M401,42485,3.0,Scripting for Data Analysis,Deborah Landowski,12:00am - 8:30pm,Tu,Online  Online
191,IST652,M403,42615,3.0,Scripting for Data Analysis,Deborah Landowski,12:00am - 8:30pm,W,Online  Online
192,IST652,M404,42616,3.0,Scripting for Data Analysis,Deborah Landowski,12:00am - 8:30pm,Tu,Online  Online
193,IST652,M002,42734,3.0,Scripting for Data Analysis,Ben Nichols,5:15pm - 8:05pm,M,Hinds Hall 027
194,IST654,M002,37412,3.0,Information Systems Analysis,James Stewart,5:00pm - 7:50pm,Th,Hinds Hall 018
195,IST654,M001,37442,3.0,Information Systems Analysis,Ping Zhang,2:15pm - 5:05pm,W,Hinds Hall 011
196,IST654,M400,37521,3.0,Information Systems Analysis,Kevin Crowston,12:00am - 8:30pm,Tu,Online  Online
197,IST654,M401,37528,3.0,Information Systems Analysis,Gregory Zink,12:00am - 8:30pm,M,Online  Online
198,IST655,M001,37542,3.0,Enterprise IT Consultation,Michelle L. Kaarst-Brown,2:00pm - 4:45pm,Th,Hinds Hall 111
199,IST659,M003,37457,3.0,Data Admin Concepts & Db Mgmt,Yang Wang,9:30am - 12:15pm,M,Hinds Hall 013
200,IST659,M004,37485,3.0,Data Admin Concepts & Db Mgmt,Hernando A Hoyos,9:30am - 12:15pm,W,Hinds Hall 027
201,IST659,M002,37490,3.0,Data Admin Concepts & Db Mgmt,Yang Wang,12:45pm - 3:30pm,M,Hinds Hall 013
202,IST659,M400,37519,3.0,Data Admin Concepts & Db Mgmt,Chad Aaron Harper,12:00am - 8:30pm,Tu,Online  Online
203,IST659,M401,37602,3.0,Data Admin Concepts & Db Mgmt,Chad Aaron Harper,12:00am - 10:30pm,Tu,Online  Online
204,IST659,M402,37603,3.0,Data Admin Concepts & Db Mgmt,Chad Aaron Harper,12:00am - 8:30pm,Th,Online  Online
205,IST659,M403,37604,3.0,Data Admin Concepts & Db Mgmt,,12:00am - 3:30pm,Su,Online  Online
206,IST659,M404,37605,3.0,Data Admin Concepts & Db Mgmt,,12:00am - 4:30pm,Sa,Online  Online
207,IST659,M406,37646,3.0,Data Admin Concepts & Db Mgmt,Dr. Gregory Block,12:00am - 5:30pm,Su,Online  Online
208,IST659,M407,37647,3.0,Data Admin Concepts & Db Mgmt,Chad Aaron Harper,12:00am - 8:30pm,Tu,Online  Online
209,IST659,M408,37648,3.0,Data Admin Concepts & Db Mgmt,Chad Aaron Harper,12:00am - 10:30pm,Tu,Online  Online
210,IST659,M409,37649,3.0,Data Admin Concepts & Db Mgmt,Chad Aaron Harper,12:00am - 8:30pm,Th,Online  Online
211,IST659,M005,42423,3.0,Data Admin Concepts & Db Mgmt,Hernando A Hoyos,5:15pm - 8:05pm,W,Hinds Hall 027
212,IST662,M400,37556,3.0,Instr Strgt & Tech/Info Profs,Megan Oakleaf,12:00am - 10:30pm,Tu,Online  Online
213,IST663,M400,37563,3.0,Motivating 21st Cent. Learning,Margo Gustina,12:00am - 8:30pm,M,Online  Online
214,IST664,M001,37494,3.0,Natural Language Processing,Lu Xiao,2:15pm - 5:05pm,M,Science & Tech Ctr 1-231
215,IST664,M002,37669,3.0,Natural Language Processing,Lu Xiao,9:30am - 12:15pm,M,Hinds Hall 010
216,IST664,M003,42449,3.0,Natural Language Processing,Stephen Wallace,9:30am - 12:15pm,Th,Hinds Hall 010
217,IST664,M400,42486,3.0,Natural Language Processing,Norma Palomino,12:00am - 8:30pm,Tu,Online  Online
218,IST664,M402,42628,3.0,Natural Language Processing,Norma Palomino,12:00am - 8:30pm,Tu,Online  Online
219,IST664,M401,42675,3.0,Natural Language Processing,Nancy McCracken,12:00am - 8:30pm,M,Online  Online
220,IST664,M403,42740,3.0,Natural Language Processing,Norma Palomino,12:00am - 8:30pm,Th,Online  Online
221,IST668,M400,42297,3.0,Litrcy Through Schl Libraries,Sara Kelly Johns,12:00am - 8:30pm,W,Online  Online
222,IST671,M400,42629,3.0,Research Methods in Info. St.,Rachel Ivy Clarke,12:00am - 8:30pm,Tu,Online  Online
223,IST671,M401,42670,3.0,Research Methods in Info. St.,Caroline Haythornthwaite,12:00am - 8:30pm,Tu,Online  Online
224,IST678,M001,42602,3.0,Comm for Info Professionals,Laura D. Lisnyczyj,11:00am - 12:20pm,MW,Hinds Hall 011
225,IST681,M800,37438,3.0,Metadata,Brian Dobreski,12:00am - 12:00am,,Online
226,IST687,M001,37465,3.0,Introduction to Data Science,Jeffrey M. Stanton,9:30am - 10:50am,Th,Life Science Building 001
227,IST687,M004,37491,3.0,LAB: Introduction to Data Science,Erik Scott Anderson,2:00pm - 3:20pm,Th,Hinds Hall 021
228,IST687,M006,37492,3.0,LAB: Introduction to Data Science,Erik Scott Anderson,3:30pm - 4:50pm,Th,Huntington Hall 107
229,IST687,M007,37493,3.0,LAB: Introduction to Data Science,Erik Scott Anderson,12:30pm - 1:50pm,Th,Hinds Hall 120
230,IST687,M400,37523,3.0,Introduction to Data Science,Gary E Krudys,12:00am - 8:30pm,W,Online  Online
